Time (s),Run A Diameter (mm),Run B Diameter (mm)
84.2,0.341259,0.38227
84.3,0.341259,0.3686
84.4,0.341259,0.3686
84.5,0.341259,0.3686
84.6,0.341259,0.354929
84.7,0.341259,0.354929
84.8,0.341259,0.354929
84.9,0.300248,0.354929
85,0.300248,0.354929
85.1,0.300248,0.354929
85.2,0.286577,0.354929
85.3,0.286577,0.354929
85.4,0.286577,0.354929
85.5,0.286577,0.354929
85.6,0.300248,0.354929
85.7,0.300248,0.354929
85.8,0.286577,0.354929
85.9,0.272907,0.341259
86,0.272907,0.327588
86.1,0.272907,0.327588
86.2,0.272907,0.327588
86.3,0.272907,0.327588
86.4,0.272907,0.341259
86.5,0.272907,0.354929
86.6,0.272907,0.354929
86.7,0.272907,0.354929
86.8,0.272907,0.354929
86.9,0.272907,0.354929
87,0.272907,0.354929
87.1,0.286577,0.3686
87.2,0.300248,0.354929
87.3,0.300248,0.354929
87.4,0.300248,0.354929
87.5,0.313918,0.354929
87.6,0.313918,0.354929
87.7,0.313918,0.354929
87.8,0.313918,0.354929
87.9,0.327588,0.354929
88,0.327588,0.354929
88.1,0.327588,0.354929
88.2,0.327588,0.354929
88.3,0.327588,0.354929
88.4,0.327588,0.354929
88.5,0.327588,0.354929
88.6,0.354929,0.354929
88.7,0.354929,0.354929
88.8,0.3686,0.354929
88.9,0.3686,0.354929
89,0.3686,0.354929
89.1,0.3686,0.354929
89.2,0.3686,0.354929
89.3,0.3686,0.354929
89.4,0.3686,0.354929
89.5,0.3686,0.354929
89.6,0.3686,0.341259
89.7,0.354929,0.341259
89.8,0.354929,0.341259
89.9,0.354929,0.341259
90,0.354929,0.341259
90.1,0.354929,0.341259
90.2,0.354929,0.354929
90.3,0.354929,0.3686
90.4,0.3686,0.3686
90.5,0.3686,0.3686
90.6,0.3686,0.3686
90.7,0.3686,0.38227
90.8,0.3686,0.38227
90.9,0.3686,0.38227
91,0.3686,0.3686
91.1,0.38227,0.3686
91.2,0.38227,0.38227
91.3,0.38227,0.3686
91.4,0.38227,0.3686
91.5,0.38227,0.38227
91.6,0.395941,0.3686
91.7,0.395941,0.3686
91.8,0.395941,0.3686
91.9,0.38227,0.3686
92,0.395941,0.3686
92.1,0.395941,0.354929
92.2,0.395941,0.3686
92.3,0.395941,0.354929
92.4,0.38227,0.354929
92.5,0.38227,0.354929
92.6,0.38227,0.354929
92.7,0.38227,0.354929
92.8,0.38227,0.354929
92.9,0.38227,0.354929
93,0.38227,0.354929
93.1,0.38227,0.354929
93.2,0.38227,0.354929
93.3,0.38227,0.354929
93.4,0.38227,0.354929
93.5,0.38227,0.354929
93.6,0.38227,0.3686
93.7,0.38227,0.3686
93.8,0.38227,0.3686
93.9,0.354929,0.3686
94,0.354929,0.341259
94.1,0.38227,0.341259
94.2,0.354929,0.341259
94.3,0.354929,0.341259
94.4,0.354929,0.341259
94.5,0.354929,0.341259
94.6,0.354929,0.341259
94.7,0.3686,0.341259
94.8,0.354929,0.341259
94.9,0.354929,0.327588
95,0.354929,0.327588
95.1,0.354929,0.327588
95.2,0.354929,0.327588
95.3,0.354929,0.327588
95.4,0.354929,0.327588
95.5,0.354929,0.300248
95.6,0.354929,0.300248
95.7,0.354929,0.300248
95.8,0.354929,0.300248
95.9,0.354929,0.300248
96,0.354929,0.300248
96.1,0.354929,0.300248
96.2,0.354929,0.327588
96.3,0.354929,0.327588
96.4,0.354929,0.327588
96.5,0.354929,0.327588
96.6,0.354929,0.327588
96.7,0.341259,0.327588
96.8,0.341259,0.341259
96.9,0.341259,0.341259
97,0.354929,0.327588
97.1,0.354929,0.327588
97.2,0.354929,0.327588
97.3,0.354929,0.327588
97.4,0.354929,0.327588
97.5,0.354929,0.327588
97.6,0.354929,0.341259
97.7,0.3686,0.341259
97.8,0.3686,0.341259
97.9,0.3686,0.341259
98,0.3686,0.341259
98.1,0.3686,0.341259
98.2,0.38227,0.341259
98.3,0.38227,0.341259
98.4,0.38227,0.341259
98.5,0.38227,0.341259
98.6,0.38227,0.341259
98.7,0.38227,0.341259
98.8,0.38227,0.341259
98.9,0.38227,0.341259
99,0.3686,0.341259
99.1,0.3686,0.341259
99.2,0.3686,0.341259
99.3,0.3686,0.341259
99.4,0.3686,0.341259
99.5,0.3686,0.341259
99.6,0.3686,0.327588
99.7,0.3686,0.327588
99.8,0.3686,0.341259
99.9,0.38227,0.327588
