Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
403.9906054,0.001,0.987655,127,0.21,0.992,3,0.196
404.9924967,0.001,0.984062,127,0.21,0.988,4,0.202
405.9934211,0.001,0.98097,127,0.21,0.977,4,0.194
406.9903715,0.001,0.977144,127,0.21,0.976,4,0.205
407.9906824,0.001,0.974745,127,0.21,0.972,4,0.22
408.9886501,0.001,0.979501,127,0.21,0.975,4,0.216
409.9934692,0.001,0.991633,127,0.21,0.979,4,0.232
410.9882193,0.001,1.00096,127,0.21,0.994,4,0.229
411.9882925,0.001,1.01278,127,0.21,1.002,4,0.222
412.9905488,0.001,1.0177,127,0.21,1.01,4,0.214
413.9883208,0.001,1.02179,127,0.21,1.016,4,0.233
414.991749,0.001,1.03132,127,0.21,1.026,4,0.217
415.9924815,0.001,1.03407,127,0.21,1.033,4,0.205
416.990773,0.001,1.03324,127,0.21,1.033,4,0.198
417.9885607,0.001,1.03202,127,0.21,1.029,4,0.212
418.9892693,0.001,1.03142,127,0.21,1.032,4,0.212
419.9877892,0.001,1.0295,127,0.21,1.029,4,0.21
420.9873729,0.001,1.03028,127,0.21,1.027,4,0.222
421.9883349,0.001,1.03076,127,0.21,1.029,4,0.217
422.9889584,0.001,1.03125,127,0.21,1.027,4,0.202
423.9907405,0.001,1.02825,127,0.21,1.027,4,0.211
424.990696,0.001,1.0345,127,0.21,1.038,4,0.226
425.9927063,0.001,1.03983,127,0.21,1.039,4,0.219
426.9872849,0.001,1.04424,127,0.21,1.042,4,0.212
427.9893653,0.001,1.04782,127,0.21,1.047,4,0.226
428.9912713,0.001,1.05285,127,0.21,1.05,4,0.224
429.990679,0.001,1.05766,127,0.21,1.051,4,0.213
430.993875,0.001,1.0607,127,0.21,1.057,4,0.218
431.9916337,0.001,1.06369,127,0.21,1.059,4,0.213
