Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
373.0147283,0.001,1,127,0,0.998,3,0.221
374.0053763,0.001,1,127,0,1,3,0.22
375.0042479,0.001,1,127,0,1.001,3,0.203
376.0043809,0.001,1,127,0,1.002,3,0.212
377.0044668,0.001,1,127,0,1.002,3,0.223
378.0044272,0.001,1,127,0,1,3,0.21
379.0072725,0.001,1,127,0,1.001,3,0.215
380.0046732,0.001,1,127,0,0.998,3,0.232
381.0043375,0.001,1,127,0,1.003,3,0.22
382.0037453,0.001,1,127,0,0.998,3,0.212
383.0045867,0.001,1,127,0,1,3,0.212
384.0046685,0.001,1,127,0,0.998,3,0.22
385.0035186,0.001,1,127,0,0.997,3,0.21
386.0044014,0.001,1,127,0,1.002,3,0.218
387.0057056,0.001,1,127,0,1,4,0.228
388.0062752,0.001,1,127,0,1,4,0.221
389.0077534,0.001,1,127,0,0.998,4,0.229
390.0052905,0.001,1,127,0,1.001,4,0.235
391.0076971,0.001,1,127,0,1.003,4,0.221
392.0077152,0.001,1,127,0,1,4,0.216
393.0101838,0.001,1,127,0,1.002,4,0.229
394.0084348,0.001,1,127,0,1.002,4,0.214
395.0065911,0.001,1,127,0,1.001,4,0.207
396.020577,0.001,1,127,0,1.001,4,0.211
397.0288,0.001,1,127,0,1.001,4,0.186
398.0368342,0.001,1,127,0,0.998,4,0.171
399.00857,0.001,1,127,0,1,4,0.191
400.0506995,0.001,1,127,0,1,4,0.2
401.0585978,0.001,1,127,0,1,4,0.187
402.0093379,0.001,1,127,0,0.998,4,0.186
403.0070343,0.001,1,127,0,0.997,4,0.206
404.0056145,0.001,1,127,0,0.998,4,0.251
405.0041797,0.001,1,127,0,1.003,4,0.236
406.0036485,0.001,1,127,0,0.998,4,0.215
407.0719645,0.001,1,127,0,1.002,4,0.229
408.0767102,0.001,1,127,0,0.996,4,0.236
409.0927482,0.001,1,127,0,1.001,4,0.22
410.1007786,0.001,1,127,0,1,4,0.215
411.0080659,0.001,1,127,0,1.002,4,0.212
412.0079091,0.001,1,127,0,1.001,4,0.204
413.0048437,0.001,1,127,0,1.002,4,0.219
414.0047562,0.001,1,127,0,1.003,4,0.2
415.0062096,0.001,1,127,0,0.996,4,0.221
416.0044205,0.001,1,127,0,0.998,4,0.227
417.004694,0.001,1,127,0,0.996,4,0.232
418.0041311,0.001,1,127,0,1,4,0.221
419.0090618,0.001,1,127,0,1.002,4,0.227
420.0406494,0.001,1,127,0,1.001,4,0.239
421.010236,0.001,1,127,0,1,4,0.226
422.0059304,0.001,1,127,0,1,4,0.214
423.0074296,0.001,1,127,0,1.002,4,0.227
424.0089316,0.001,1,127,0,1.003,4,0.227
425.007977,0.001,1,127,0,1.001,4,0.209
426.008368,0.001,1,127,0,1.001,4,0.19
427.0103579,0.001,1,127,0,1,4,0.185
428.0040915,0.001,1,127,0,1.001,4,0.207
429.0551503,0.001,1,127,0,0.997,4,0.217
430.0057552,0.001,1,127,0,0.998,4,0.193
431.0054309,0.001,1,127,0,0.998,4,0.212
432.0042505,0.001,1,127,0,1,4,0.188
433.0058091,0.001,1,127,0,1,4,0.198
434.0055394,0.001,1,127,0,0.998,4,0.196
435.0044725,0.001,1,127,0,1.001,4,0.19
436.013344,0.001,1,127,0,1.002,4,0.186
437.007292,0.001,1,127,0,1.003,4,0.212
438.0183389,0.001,1,127,0,1.002,4,0.203
439.0309734,0.001,1,127,0,1.002,4,0.215
440.0237975,0.001,1,127,0,1,4,0.217
441.0330708,0.001,1,127,0,1.001,4,0.215
442.0334973,0.001,1,127,0,1.002,4,0.225
443.0356696,0.001,1,127,0,1,4,0.221
444.0505047,0.001,1,127,0,0.998,4,0.215
445.0073397,0.001,1,127,0,0.996,4,0.202
446.0049067,0.001,1,127,0,1,4,0.219
447.0062251,0.001,1,127,0,0.998,4,0.216
448.0051398,0.001,1,127,0,0.998,4,0.225
449.010299,0.001,1,127,0,1.001,4,0.218
450.0106499,0.001,1,127,0,1.001,4,0.214
451.0106738,0.001,1,127,0,1,4,0.216
452.0088518,0.001,1,127,0,1.002,4,0.227
453.0092309,0.001,1,127,0,1,4,0.218
454.0154657,0.001,1,127,0,1.004,4,0.221
455.0072577,0.001,1,127,0,1.001,4,0.227
456.0094032,0.001,1,127,0,1.002,4,0.205
457.0083377,0.001,1,127,0,1.003,4,0.216
458.0053365,0.001,1,127,0,0.998,4,0.222
459.0220098,0.001,1,127,0,1,4,0.217
460.0071831,0.001,1,127,0,0.997,4,0.222
461.0062218,0.001,1,127,0,1,4,0.24
462.0085201,0.001,1,127,0,0.997,4,0.224
463.0099854,0.001,1,127,0,1,4,0.227
464.0088294,0.001,1,127,0,1.001,4,0.233
465.0106268,0.001,1,127,0,1,4,0.207
466.0079885,0.001,1,127,0,1.003,4,0.205
467.0713408,0.001,1,127,0,1.001,4,0.204
468.2420914,0.001,1,127,0,1.001,4,0.215
469.0902667,0.001,1,127,0,1.002,4,0.191
470.1239252,0.001,1,127,0,1.002,4,0.193
471.0057316,0.001,1,127,0,1,4,0.214
472.0064619,0.001,1,127,0,1.001,4,0.198
473.007761,0.001,1,127,0,1,4,0.189
474.0076966,0.001,1,127,0,1,4,0.2
475.0078676,0.001,1,127,0,0.997,4,0.222
476.0073013,0.001,1,127,0,0.998,4,0.23
477.0254772,0.001,1,127,0,1,4,0.215
478.0280247,0.001,1,127,0,1.001,4,0.221
479.0312774,0.001,1,127,0,1.003,4,0.232
480.0296197,0.001,1,127,0,1.001,4,0.213
481.0562921,0.001,1,127,0,1.002,4,0.205
482.0525956,0.001,1,127,0,1.003,4,0.241
483.0110319,0.001,1,127,0,1.002,4,0.213
484.0113001,0.001,1,127,0,1.002,4,0.223
485.0063221,0.001,1,127,0,1.001,4,0.22
486.0065842,0.001,1,127,0,1.002,4,0.212
487.0104694,0.001,1,127,0,0.997,4,0.198
488.0123625,0.001,1,127,0,1,4,0.207
489.0104642,0.001,1,127,0,1,4,0.22
490.0103002,0.001,1,127,0,0.996,4,0.206
491.0050535,0.001,1,127,0,1,4,0.199
492.0058835,0.001,1,127,0,0.997,4,0.191
493.0066767,0.001,1,127,0,1,4,0.187
494.0060673,0.001,1,127,0,1,4,0.198
495.0061641,0.001,1,127,0,1.001,4,0.207
496.0089486,0.001,1,127,0,1.002,4,0.228
497.0092797,0.001,1,127,0,1.003,4,0.219
498.0062001,0.001,1,127,0,0.998,4,0.218
499.0111146,0.001,1,127,0,1.001,4,0.232
500.0097625,0.001,1,127,0,1,4,0.221
501.0112107,0.001,1,127,0,1.003,4,0.216
502.0090749,0.001,1,127,0,1.001,4,0.219
503.0079708,0.001,1,127,0,1.001,4,0.207
504.0062296,0.001,1,127,0,0.998,4,0.202
505.0069137,0.001,1,127,0,0.998,4,0.199
506.0075936,0.001,1,127,0,0.998,4,0.2
507.0071723,0.001,1,127,0,1.001,4,0.187
508.0099819,0.001,1,127,0,1,5,0.201
509.0097625,0.001,1,127,0,1,5,0.202
510.0101445,0.001,1,127,0,1,5,0.201
511.0088067,0.001,1,127,0,0.998,5,0.199
512.0092511,0.001,1,127,0,1,5,0.214
513.0073187,0.001,1,127,0,1.001,5,0.212
514.0219023,0.001,1,127,0,1.003,5,0.204
515.0264058,0.001,1,127,0,1.001,5,0.243
516.0274656,0.001,1,127,0,1,5,0.229
517.0211973,0.001,1,127,0,1.002,5,0.225
518.0326066,0.001,1,127,0,1.001,5,0.218
519.0433917,0.001,1,127,0,1,5,0.217
520.0441937,0.001,1,127,0,0.994,5,0.208
521.0495594,0.001,1,127,0,1,5,0.207
